Ward_No,top1_ward,top1_val,top2_ward,top2_val,top3_ward,top3_val,top4_ward,top4_val,top5_ward,top5_val,top6_ward,top6_val,top7_ward,top7_val,top8_ward,top8_val,top9_ward,top9_val,top10_ward,top10_val
0,176,0.02305740676820278,173,0.02057994343340397,172,0.019599879160523415,193,0.018737314268946648,174,0.017735358327627182,171,0.0161067433655262,157,0.015994960442185402,131,0.015874376520514488,189,0.015358273871243,175,0.014838390983641148
31,174,0.009496328420937061,172,0.008526232093572617,176,0.008184649981558323,171,0.00802729744464159,173,0.007838675752282143,36,0.007438240107148886,96,0.007138221058994532,0,0.007073639426380396,193,0.00698884529992938,31,0.006980150938034058
33,193,0.014164193533360958,171,0.012776857241988182,192,0.012762070633471012,172,0.011621365323662758,174,0.011605663225054741,145,0.011426854878664017,176,0.011087236925959587,157,0.011072441004216671,0,0.01102837361395359,170,0.01056625135242939
34,174,0.008572923019528389,172,0.00844014436006546,193,0.007229092996567488,176,0.007179857697337866,173,0.00705338129773736,171,0.006910976022481918,0,0.006793726235628128,157,0.006574612110853195,192,0.006366249173879623,83,0.006318012252449989
35,69,0.008970442228019238,96,0.006673824042081833,103,0.0065038204193115234,174,0.006472382694482803,70,0.006380400620400906,113,0.006358902435749769,83,0.006314809434115887,61,0.006262900307774544,35,0.006090153008699417,175,0.006062868982553482
36,174,0.009918563067913055,173,0.007321791257709265,172,0.00730311730876565,83,0.006708701141178608,176,0.0063834902830421925,36,0.006022264715284109,69,0.005704411771148443,103,0.005401529371738434,96,0.005392018705606461,175,0.0053372508846223354
37,83,0.007324594538658857,172,0.007240060716867447,178,0.007077466696500778,69,0.007067263126373291,180,0.007048409432172775,174,0.007038747891783714,177,0.006924491375684738,125,0.006603579968214035,103,0.006512394640594721,173,0.006038269959390163
38,83,0.010494180023670197,178,0.009718782268464565,125,0.008963827043771744,65,0.008761764504015446,177,0.008390541188418865,169,0.00838731974363327,129,0.008380156010389328,180,0.008241627365350723,66,0.008120155893266201,131,0.008106239140033722
40,83,0.010622086934745312,178,0.009593937546014786,177,0.009198385290801525,69,0.00908422376960516,125,0.00785620417445898,103,0.007827479392290115,180,0.007683827541768551,97,0.0075933369807899,173,0.007457422558218241,42,0.007440807763487101
41,179,0.01280377060174942,169,0.012612970545887947,65,0.012271475978195667,182,0.012066720053553581,129,0.012045826762914658,41,0.01199958473443985,137,0.011824036948382854,181,0.011584979481995106,48,0.011288466863334179,187,0.011113087646663189
42,83,0.012022459879517555,178,0.011189734563231468,177,0.010337472893297672,65,0.009707538411021233,42,0.009657764807343483,69,0.009485297836363316,125,0.00928430911153555,43,0.009244759567081928,40,0.009093484841287136,38,0.009006689302623272
43,178,0.0105650145560503,83,0.010499635711312294,65,0.01001194678246975,177,0.009935552254319191,41,0.00914706476032734,38,0.009042244404554367,62,0.00896549504250288,42,0.008858893066644669,169,0.008823707699775696,43,0.00878884643316269
44,70,0.018372517079114914,74,0.016131985932588577,44,0.015972234308719635,71,0.01587839610874653,113,0.014241919852793217,67,0.014191213063895702,45,0.0137588270008564,68,0.013258527964353561,61,0.012702812440693378,35,0.012526812963187695
45,69,0.010353018529713154,103,0.007854501716792583,70,0.007104014977812767,96,0.006982419639825821,113,0.006793616805225611,61,0.006525343284010887,35,0.0064767757430672646,44,0.006429770495742559,45,0.006286113057285547,107,0.006270991638302803
46,174,0.02600959502160549,172,0.02423287369310856,176,0.021898481994867325,193,0.021465061232447624,173,0.01962379179894924,131,0.015444885939359665,189,0.015427098609507084,175,0.014603291638195515,180,0.01422968227416277,121,0.014134636148810387
47,174,0.02277759276330471,172,0.021437520161271095,176,0.020471779629588127,173,0.019550489261746407,193,0.016545569524168968,131,0.016444949433207512,180,0.016330087557435036,125,0.0156742911785841,175,0.01505731325596571,47,0.01458834670484066
48,83,0.012092306278645992,178,0.0101843336597085,174,0.010046460665762424,180,0.00972336158156395,173,0.009593013674020767,172,0.009319608099758625,177,0.009086460806429386,125,0.009047388099133968,103,0.008527559228241444,47,0.00834942888468504
49,69,0.010193797759711742,83,0.008976763114333153,96,0.008379065431654453,175,0.008357484824955463,104,0.008339879103004932,177,0.008227468468248844,97,0.008226511999964714,107,0.008007746189832687,103,0.00793776661157608,109,0.007915964350104332
50,83,0.011303449980914593,178,0.01069569494575262,69,0.009681472554802895,177,0.00931096263229847,125,0.008926215581595898,65,0.00883287750184536,103,0.008216491900384426,180,0.00802235770970583,42,0.007797792553901672,66,0.007594130467623472
51,177,0.00866897962987423,69,0.00841183215379715,98,0.008021155372262001,178,0.008013092912733555,83,0.007876125164330006,175,0.00787388440221548,49,0.007195464801043272,42,0.00716819241642952,104,0.007019718177616596,109,0.007008200976997614
52,69,0.008408717811107635,177,0.008146601729094982,83,0.007782164961099625,175,0.007745170500129461,178,0.007580404169857502,98,0.007534773554652929,104,0.006772533059120178,109,0.006769980303943157,49,0.006674829870462418,42,0.006654900033026934
